Texto fonte - inglês,Tradução - português,Comentário,Subprojecto
The %1$s option is deprecated for the family of %2$s functions. Use the %3$s function instead.,"A opção %1$s está obsoleta para a família de funções %2$s. Em vez dessa, use a função %3$s.","translators: 1: 'text_direction' argument, 2: bloginfo() function name, 3:
is_rtl() function name",dev
Theme Details,Detalhes do tema,,dev
Live Preview,Pré-visualização,,dev
No categories found.,Nenhuma categoria encontrada.,,dev
Distraction-free writing mode,Modo de escrita sem distracções,,dev
Theme support for %1$s should be registered before the %2$s hook.,O suporte para %1$s no tema deveria ser registado antes do hook %2$s.,translators: 1: Theme support 2: hook name,dev
Widget moved up,Widget movido para cima,,dev
Widget moved down,Widget movido para baixo,,dev
Rich Text Area. Press Alt-Shift-H for help.,Área de Rich Text. Pressione Alt-Shift-H se precisar de ajuda.,,dev
Focus shortcuts:,Atalhos em modo focado:,,dev
Editor menu (when enabled),Menu do editor (quando activado),,dev
Editor toolbar,Ferramentas do editor,,dev
To move focus to other buttons use Tab or the arrow keys. To return focus to the editor press Escape or use one of the buttons.,Para mudar o foco para outros botões use a tecla Tab ou as setas. Para mudar o foco para o editor use a tecla Escape ou um dos botões.,,dev
Elements path,Hierarquia dos elementos,,dev
"The following values do not describe a valid date: month %1$s, day %2$s.","Os seguintes valores não descrevem uma data válida: mês %1$s, dia %2$s.","translators: 1: month, 2: day of month",dev
A term with the name provided already exists in this taxonomy.,"Já existe um termo com o nome indicado, nesta taxonomia.",,dev
%s must set a database connection for use with escaping.,%s deve definir uma ligação à base de dados para usar com escapes.,"translators: %s: database access abstraction class, usually wpdb or a class
extending wpdb",dev
You need to pass an array of types.,Necessita de passar uma array de tipos.,,dev
Installed [translations],Instaladas,,dev
Available [translations],Disponíveis,,dev
Older posts,Artigos mais antigos,,dev
Posts navigation,Navegação de artigos,,dev
Newer posts,Artigos mais recentes,,dev
Previous,Anterior,,dev
Edit Selection,Editar selecção,,dev
Trash [noun],Lixo,,dev
URL: %s,URL: %s,translators: 1: Trackback/pingback/comment author URL,dev
Comment: %s,Comentário: %s,translators: 1: Comment text,dev
You can see all trackbacks on this post here:,Pode ver todos os trackbacks deste artigo aqui:,,dev
You can see all pingbacks on this post here:,Pode ver todos os pingbacks deste artigo aqui:,,dev
You can see all comments on this post here:,Pode ver todos os comentários a este artigo aqui:,,dev
Trash [verb],Mover para o lixo,,dev
Add to Dictionary,Adicionar ao dicionário,,dev
Border color,Cor da borda,,dev
H Align [horizontal table cell alignment],Alinhamento H,,dev
V Align [vertical table cell alignment],Alinhamento V,,dev
Invalid value %1$s for %2$s. Expected value should be between %3$s and %4$s.,Valor inválido %1$s para %2$s. O valor deveria ser entre %3$s e %4$s.,"translators: Date query invalid date message: 1: invalid value, 2: type of
value, 3: minimum valid value, 4: maximum valid value",dev
Reply to %s,Responder a %s,translators: Comment reply button text. 1: Comment author name,dev
"The following values do not describe a valid date: year %1$s, month %2$s, day %3$s.","Os seguintes valores não descrevem uma data válida: ano %1$s, mês %2$s, dia %3$s.","translators: 1: year, 2: month, 3: day of month",dev
Category: %s,Categoria: %s,translators: Category archive title. 1: Category name,dev
Tag: %s,Etiqueta: %s,translators: Tag archive title. 1: Tag name,dev
Author: %s,Autor: %s,translators: Author archive title. 1: Author name,dev
Year: %s,Ano: %s,translators: Yearly archive title. 1: Year,dev
Asides [post format archive title],Apartes,,dev
"F j, Y [daily archives date format]","j \d\e F, Y",,dev
Day: %s,Dia: %s,translators: Daily archive title. 1: Date,dev
Month: %s,Mês: %s,translators: Monthly archive title. 1: Month name and year,dev
Images [post format archive title],Imagens,,dev
Galleries [post format archive title],Galerias,,dev
Quotes [post format archive title],Citações,,dev
Videos [post format archive title],Vídeos,,dev
Links [post format archive title],Ligações,,dev
Statuses [post format archive title],Estados,,dev
Chats [post format archive title],Conversas,,dev
Audio [post format archive title],Áudio,,dev
%1$s: %2$s,%1$s: %2$s,"translators: Taxonomy term archive title. 1: Taxonomy singular name, 2:
Current taxonomy term",dev
Archives: %s,Arquivo: %s,translators: Post type archive title. 1: Post type name,dev
No alignment,Sem alinhamento,,dev
Change File,Alterar ficheiro,,dev
No file selected,Nenhum ficheiro seleccionado,,dev
Choose File,Escolher ficheiro,,dev
Select Image,Seleccionar imagem,,dev
No image selected,Nenhuma imagem seleccionada,,dev
Custom color,Cor personalizada,,dev
Color,Cor,,dev
Custom... [label for custom color],Personalizar...,,dev
No color,Sem cor,,dev
Default [list style],Por omissão,,dev
Link [add new from admin bar],Ligação,,dev
Page [add new from admin bar],Página,,dev
Post [add new from admin bar],Artigo,,dev
Format [TinyMCE menu],Formato,,dev
Media [post type general name],Multimédia,,dev
Add New [add new media],Adicionar,,dev
<strong>You have successfully updated WordPress!</strong> Please log back in to see what&#8217;s new.,<strong>Actualizou o WordPress com sucesso!</strong> Volte a iniciar a sessão para ver o que há de novo.,,dev
Untrash Selected,Remover selecção do lixo,,dev
Trash Selected,Mover selecção para o lixo,,dev
"You are about to trash these items. 
'Cancel' to stop, 'OK' to delete.","Está prestes a mover estes itens para o lixo. 
'Cancelar' para parar, 'OK' para mover.",,dev
Untrash,Recuperar,,dev
Press return or enter to open this panel,Prima enter para abrir este painel,,dev
Delete Selected,Eliminar seleccionados,,dev
Cancel Selection,Cancelar a selecção,,dev
Bulk Select,Selecção em massa,,dev
%s: %l.,%s: %l.,"translators: %s: taxonomy label, %l: list of terms formatted as per
$term_template",dev
(no label) [missing menu item navigation label],(sem correspondência),,dev
This site is no longer available.,Este site já não está disponível.,,dev
No plugins found. Try a different search.,Nenhum plugin encontrado. Tente uma nova pesquisa.,,dev
Search Media,Procurar media,,dev
Filter by type,Filtrar por tipo,,dev
Filter by date,Filtrar por data,,dev
Unattached,Desanexado,,dev
All dates,Todas as datas,,dev
Bitrate Mode,Modo de bitrate,,dev
Edit more details,Editar mais detalhes,,dev
View attachment page,Ver página do anexo,,dev
Uploaded To,Carregado para,,dev
Uploaded By,Carregado por,,dev
Bitrate:,Bitrate:,,dev
Dimensions:,Dimensões:,,dev
File size:,Tamanho do ficheiro:,,dev
Uploaded on:,Carregado em:,,dev
File type:,Tipo de ficheiro:,,dev
File name:,Nome do ficheiro:,,dev
Edit next media item,Editar item de media seguinte,,dev
Edit previous media item,Editar item de media anterior,,dev
Grid View,Vista de grelha,,dev
List View,Vista de lista,,dev
Maximum upload file size: %s.,Tamanho máximo do ficheiro para carregamento: %s.,,dev
Close uploader,Fechar o carregador,,dev
Close media panel,Fechar o painel de media,,dev
Search or use up and down arrow keys to select an item.,Procure ou use as setas para cima ou baixo para seleccionar um item.,,dev
Read more...,Ler mais...,,dev
Your browser does not support direct access to the clipboard. Please use keyboard shortcuts or your browser&#8217;s edit menu instead.,"O seu navegador não suporta acesso directo à área de transferência. Por favor, use os atalhos do teclado ou o menu de edição do seu navegador.",,dev
Bitrate,Bitrate,,dev
Widgets are independent sections of content that can be placed into widgetized areas provided by your theme (commonly called sidebars).,Widgets são secções de conteúdo independentes que podem ser colocados em áreas específicas fornecidas pelo seu tema (chamadas de barras laterais).,,dev
You are customizing %s,Está a personalizar %s,translators: %s: the site/panel title in the Customizer,dev
"While you can crop images to your liking after clicking <strong>Add new image</strong>, your theme recommends a header height of %s pixels.","Embora possa cortar imagens ao seu gosto depois de clicar em <strong>Adicionar nova imagem</strong>, o seu tema recomenda um cabeçalho com a altura de %s píxeis.",translators: %s: header height in pixels,dev
"While you can crop images to your liking after clicking <strong>Add new image</strong>, your theme recommends a header width of %s pixels.","Embora possa cortar imagens ao seu gosto depois de clicar em <strong>Adicionar nova imagem</strong>, o seu tema recomenda um cabeçalho com a largura de %s píxeis.",translators: %s: header width in pixels,dev
<strong>ERROR</strong>: The comment could not be saved. Please try again later.,"<strong>ERRO</strong>: Este comentário não pode ser guardado. Tente mais tarde, por favor.",,dev
(WordPress could not establish a secure connection to WordPress.org. Please contact your server administrator.),(Não foi possível estabelecer uma ligação segura com WordPress.org. Por favor entre em contacto com o administrador do seu servidor.),,dev
Shift-click to edit this widget.,Shift-clique para editar este widget.,,dev
Address [HTML tag],Endereço,,dev
"If you&#8217;re looking to paste rich content from Microsoft Word, try turning this option off. The editor will clean up text pasted from Word automatically.","Se está a tentar colar conteúdo a partir do Microsoft Word, tente desligar esta opção. O editor vai limpar o texto colado do Word de forma automática.",,dev
"While you can crop images to your liking after clicking <strong>Add new image</strong>, your theme recommends a header size of %s pixels.","Embora possa cortar imagens ao seu gosto depois de clicar em <strong>Adicionar nova imagem</strong>, o seu tema recomenda um cabeçalho com tamanho de %s píxeis.",translators: %s: header size in pixels,dev
Keyboard Shortcuts,Atalhos de teclado,,dev
"<strong>ERROR</strong>: Cookies are blocked or not supported by your browser. You must <a href=""%s"">enable cookies</a> to use WordPress.","<strong>ERRO</strong>: Os cookies estão a ser bloqueados ou não são suportados pelo seu navegador. <a href=""%s"">Active os cookies</a> para usar o WordPress.",translators: 1: Browser cookie documentation URL,dev
"<strong>ERROR</strong>: Cookies are blocked due to unexpected output. For help, please see <a href=""%1$s"">this documentation</a> or try the <a href=""%2$s"">support forums</a>.","<strong>ERRO</strong>: Os cookies foram bloqueados devido a uma resposta inesperada.. Para obter ajuda, por favor consulte <a href=""%1$s"">esta documentação</a> ou tente o <a href=""%2$s"">fórum de suporte</a>.","translators: 1: Browser cookie documentation URL, 2: Support forums URL",dev
Add to Audio Playlist,Adicionar à lista de reprodução de áudio,,dev
Add to audio playlist,Adicionar à lista de reprodução de áudio,,dev
Update audio playlist,Actualizar lista de reprodução de áudio,,dev
Insert audio playlist,Inserir lista de reprodução de áudio,,dev
&#8592; Cancel Audio Playlist,&#8592; Cancelar lista de reprodução de áudio,,dev
Edit Audio Playlist,Editar lista de reprodução de áudio,,dev
There has been an error cropping your image.,Ocorreu um erro ao recortar a sua imagem,,dev
Length [video or audio],Duração,,dev
Year,Ano,,dev
Genre,Género,,dev
Album,Álbum,,dev
Artist,Artista,,dev
Image CSS Class,Classe de CSS da imagem,,dev
Image Title Attribute,Título HTML (title) da imagem,,dev
Advanced Options,Opções avançadas,,dev
Custom Size,Tamanho personalizado,,dev
Split table cell,Dividir célula,,dev
Font Sizes,Tamanhos,,dev
Font Family,Tipo de letra,,dev
None [table cell alignment attribute],Nenhum,,dev
Edit Original,Editar original,,dev
Display Settings,Opções de visualização,,dev
Show Video List,Mostra lista de vídeo,,dev
Link CSS Class,Classe CSS da ligação,,dev
Headings [TinyMCE],Títulos,,dev
Search widgets&hellip;,Pesquisar widgets&hellip;,,dev
Search Widgets,Pesquisar widgets,,dev
Trash widget by moving it to the inactive widgets sidebar.,Desactive o widget movendo-o para a área de widgets inactivos.,,dev
Save and preview changes before publishing them.,Guarde e pré-visualize as alterações antes de as publicar.,,dev
Set image,Definir imagem,,dev
Move [Move widget],Mover,,dev
Auto [auto preload],Automático,,dev
"Tracks (subtitles, captions, descriptions, chapters, or metadata)","Faixas (legendas, subtítulos, descrições, capítulos ou metadados)",,dev
Cropping&hellip;,A recortar&hellip;,,dev
Move to another area&hellip;,Mover para outra área&hellip;,,dev
Table [TinyMCE menu],Tabela,,dev
View [TinyMCE menu],Ver,,dev
Tools [TinyMCE menu],Ferramentas,,dev
Edit [TinyMCE menu],Editar,,dev
File [TinyMCE menu],Ficheiro,,dev
Insert [TinyMCE menu],Inserir,,dev
Words: %s,Palavras: %s,translators: word count,dev
Show blocks [editor button],Mostrar blocos,,dev
Templates [TinyMCE],Modelos,,dev
Insert template [TinyMCE],Inserir modelo,,dev
Footer [table footer],Rodapé,,dev
Body [table body],Corpo,,dev
Header [table header],Cabeçalho,,dev
Cell [table cell],Célula,,dev
Cols [table columns],Colunas,,dev
Ignore [spellcheck],Ignorar,,dev
Ignore all [spellcheck],Ignorar todos,,dev
Finish [spellcheck],Terminar,,dev
Replace all [find/replace],Substituir todos,,dev
Find [find/replace],Encontrar,,dev
Replace with [find/replace],Substituir por,,dev
Whole words [find/replace],Palavras completas,,dev
Prev [find/replace],Anterior,translators: previous,dev
Next [find/replace],Seguinte,,dev
Replace [find/replace],Substituir,,dev
Left to right [editor button],Esquerda para a direita,,dev
Right to left [editor button],Direita para a esquerda,,dev
Anchors [Link anchors (TinyMCE)],Âncoras,,dev
Anchor [Link anchor (TinyMCE)],Âncora,,dev
Name [Name of link anchor (TinyMCE)],Nome,,dev
Lower Roman [list style],Romano minúsculo,,dev
Upper Roman [list style],Romano maiúsculo,,dev
Upper Alpha [list style],Maiúsculas,,dev
Lower Alpha [list style],Minúsculas,,dev
Lower Greek [list style],Minúsculas gregas,,dev
Disc [list style],Círculo cheio,,dev
Circle [list style],Círculo,,dev
Square [list style],Quadrado,,dev
Bulleted list,Lista de marcadores,,dev
Inline [HTML elements],Em linha,,dev
Pre [HTML tag],Pre,,dev
Div [HTML tag],Div,,dev
Blocks [TinyMCE],Blocos,translators: block tags,dev
Column [table column],Coluna,,dev
Scope [table cell scope attribute],Âmbito,,dev
Formats [TinyMCE],Formatos,,dev
Add alternate sources for maximum HTML5 playback:,Adicione fontes alternativas para máxima compatibilidade com a reprodução em HTML5:,,dev
"Hint: The password should be at least twelve characters long. To make it stronger, use upper and lower case letters, numbers, and symbols like ! "" ? $ % ^ &amp; ).","Sugestão: a senha deve ter pelo menos 12 caracteres. Para a tornar mais segura, use letras maiúsculas e minúsculas, números e símbolos como ! "" ? $ % ^ &amp; ).",,dev
The query argument of %s must have a placeholder.,O argumento da query de %s deve ter um placeholder,,dev
Invalid menu ID.,ID de menu inválido.,,dev
Add to Video Playlist,Adicionar à lista de reprodução de vídeo,,dev
Add to video playlist,Adicionar à lista de reprodução de vídeo,,dev
Update video playlist,Actualizar lista de reprodução de vídeo,,dev
Insert video playlist,Inserir lista de reprodução de vídeo,,dev
&#8592; Cancel Video Playlist,&#8592; Cancelar lista de reprodução de vídeo,,dev
Edit Video Playlist,Editar lista de reprodução de vídeo,,dev
Create Video Playlist,Criar lista de reprodução de vídeo,,dev
Drag and drop to reorder videos.,Arraste e largue para reordenar os vídeos.,,dev
Create Audio Playlist,Criar lista de reprodução de áudio,,dev
Drag and drop to reorder tracks.,Arraste e largue para reordenar as faixas.,,dev
Add Subtitles,Adicionar legendas,,dev
Select Poster Image,Escolha uma imagem de capa,,dev
Add Video Source,Adicionar fonte de vídeo,,dev
Replace Video,Substituir vídeo,,dev
Video Details,Detalhes do vídeo,,dev
Add Audio Source,Adicionar fonte de áudio,,dev
Replace Audio,Substituir áudio,,dev
Audio Details,Detalhes do áudio,,dev
Crop your image,Corte a sua imagem,,dev
Crop Image,Cortar imagem,,dev
Skip Cropping,Saltar corte,,dev
Select and Crop,Escolher e cortar,,dev
Choose Image,Escolha uma imagem,,dev
Cancel Edit,Cancelar edição,,dev
Replace Image,Substituir imagem,,dev
Create a new video playlist,Criar nova lista de reprodução de vídeo,,dev
Create a new playlist,Criar nova lista de reprodução,,dev
There are no associated subtitles.,Não existem legendas associadas.,,dev
Poster Image,Imagem de capa,,dev
Autoplay,Reprodução automática,,dev
Metadata,Metadados,,dev
Show Images,Mostrar imagens,,dev
Show Artist Name in Tracklist,Mostrar nome do artista na lista de reprodução,,dev
%s and %s,%s e %s,translators: used to join items in a list with only 2 items,dev
"%s, and %s",%s e %s,translators: used to join last two items in a list with more than 2 times,dev
"%s, %s","%s, %s",translators: used to join items in a list with more than 2 items,dev
Search [Search widget],Procurar,,dev
Playlist Settings,Opções da lista de reprodução,,dev
Show Tracklist,Mostrar lista de faixas,,dev
Back,Voltar,,dev
Image Details,Detalhes da imagem,,dev
Insert Read More tag,Inserir a etiqueta Ler mais,,dev
Show invisible characters,Mostrar caracteres invisíveis,,dev
Text color,Cor do texto,,dev
Background color,Cor de fundo,,dev
Delete column,Eliminar coluna,,dev
Row group,Grupo de linhas,,dev
Cell type,Tipo de célula,,dev
Header cell,Célula de cabeçalho,,dev
Insert table,Inserir tabela,,dev
Row type,Tipo de linha,,dev
Cell spacing,Espacejamento de células,,dev
Cell padding,Margem interior,,dev
Rows,Linhas,,dev
Match case,Diferenciar maiúsculas e minúsculas,,dev
Find and replace,Procurar e substituir,,dev
Replace,Substituir,,dev
Paste as text,Colar como texto,,dev
Page break,Quebra de página,,dev
Nonbreaking space,Espaço sem quebra de linha,,dev
Embed,Incorporar,,dev
Insert video,Inserir vídeo,,dev
Paste your embed code below:,Cole o código de incorporação em baixo,,dev
New window,Nova janela,,dev
Text to display,Texto a mostrar,,dev
Insert date/time,Inserir data/hora,,dev
Horizontal line,Linha horizontal,,dev
Encoding,Codificação,,dev
Robots,Robots,,dev
Emoticons,Emoticons,,dev
Source code,Código-fonte,,dev
Special character,Caractere especial,,dev
Restore last draft,Restaurar o último rascunho,,dev
Visual aids,Ajudas visuais,,dev
Align left,Alinhar à esquerda,,dev
Justify,Justificar,,dev
Paste is now in plain text mode. Contents will now be pasted as plain text until you toggle this option off.,Colar funciona agora em modo de texto simples. Os conteúdos colados serão transformados em texto simples até desligar esta opção.,,dev
Decrease indent,Reduzir indentação,,dev
Align center,Centrar,,dev
Clear formatting,Limpar formatações,,dev
Increase indent,Aumentar indentação,,dev
Numbered list,Lista numerada,,dev
Align right,Alinhar à direita,,dev
An error has occurred. Please reload the page and try again.,"Ocorreu um erro. Por favor, recarregue a página e tente de novo.",,dev
Select an area to move this widget into:,Escolha a área de destino deste widget:,,dev
Move up,Mover para cima,,dev
Move down,Mover para baixo,,dev
Reorder,Reordenar,,dev
Add a Widget,Adicionar widget,,dev
Suggested [custom headers],Sugeridos,,dev
Previously uploaded [custom headers],Carregados anteriormente,,dev
Current header,Cabeçalho actual,,dev
No image set,Nenhuma imagem definida,,dev
Randomizing suggested headers,A baralhar os cabeçalhos sugeridos,,dev
Randomizing uploaded headers,A baralhar os cabeçalhos carregados,,dev
Randomize suggested headers,Baralhar os cabeçalhos sugeridos,,dev
Randomize uploaded headers,Baralhar os cabeçalhos carregados,,dev
https://wordpress.org/support/forum/requests-and-feedback,https://wordpress.org/support/forum/requests-and-feedback,,dev
https://wordpress.org/support/,https://pt.wordpress.org/support/,,dev
https://wordpress.org/,https://pt.wordpress.org/,,dev
Keywords,Palavras-chave,,dev
Alternative source,Fonte alternativa,,dev
Style,Estilo,,dev
Insert image,Inserir imagem,,dev
Toolbar Toggle,Mostrar/esconder barra de ferramentas,,dev
Column group,Grupo de colunas,,dev
Could not find the specified string.,O texto especificado não foi encontrado.,,dev
Coffee [admin color scheme],Café,,dev
Ocean [admin color scheme],Oceano,,dev
Ectoplasm [admin color scheme],Ectoplasma,,dev
Sunrise [admin color scheme],Nascer do Sol,,dev
"Attempted to set image quality outside of the range [1,100].","Tentativa de definir a qualidade de imagem para além do permitido [1,100].",,dev
Add a custom menu to your sidebar.,Adicione um menu personalizado à sua barra lateral.,,dev
A cloud of your most used tags.,Uma nuvem das etiquetas mais usadas.,,dev
Entries from any RSS or Atom feed.,Entradas de qualquer feed RSS ou Atom.,,dev
Your site&#8217;s most recent comments.,Os comentários mais recentes no seu site.,,dev
Your site&#8217;s most recent Posts.,Os artigos mais recentes no seu site.,,dev
A list or dropdown of categories.,Uma lista ou selecção de categorias.,,dev
A calendar of your site&#8217;s Posts.,Um calendário dos artigos do seu site.,,dev
"Login, RSS, &amp; WordPress.org links.","Ligações para o início de sessão, RSS e WordPress.org",,dev
A monthly archive of your site&#8217;s Posts.,Um arquivo mensal dos artigos do seu site.,,dev
A search form for your site.,Um formulário de pesquisa para o seu site.,,dev
A list of your site&#8217;s Pages.,Uma lista das páginas do seu site.,,dev
on [Open Sans font: on or off],on,"translators: If there are characters in your language that are not supported
by Open Sans, translate this to 'off'. Do not translate into your own
language.",dev
"An unexpected error occurred. Something may be wrong with WordPress.org or this server&#8217;s configuration. If you continue to have problems, please try the <a href=""%s"">support forums</a>.","Ocorreu um erro inesperado. Pode estar algo errado com o WordPress.org ou com a configuração deste servidor. Se continuar com problemas, por favor tente pedir ajuda no <a href=""%s"">fórum de suporte</a>.",translators: %s: support forums URL,dev
"no-subset [Open Sans font: add new subset (greek, cyrillic, vietnamese)]",no-subset,"translators: To add an additional Open Sans character subset specific to
your language, translate this to 'greek', 'cyrillic' or 'vietnamese'. Do not
translate into your own language.",dev
Use commas instead of %s to separate excluded terms.,"Use vírgulas em vez de %s, para separar os termos a excluir.",,dev
Midnight [admin color scheme],Meia-noite,,dev
Light [admin color scheme],Leve,,dev
Default [admin color scheme],Por omissão,,dev
Menu,Menu,,dev
Translation Updates,Actualização de traduções,,dev
"The theme directory ""%s"" does not exist.","O directório do tema ""%s"" não existe.",,dev
"about,an,are,as,at,be,by,com,for,from,how,in,is,it,of,on,or,that,the,this,to,was,what,when,where,who,will,with,www [Comma-separated list of search stopwords in your language]","a,ao,as,à,às,com,como,da,das,de,do,dos,e,em,eu,ela,ele,eles,esse,está,foi,há,isso,isto,já,mas,me,meu,muito,na,nas,o,ou,pelo,pela,seu,sua,quando","translators: This is a comma-separated list of very common words that should
be excluded from a search, like a, an, and the. These are usually called
""stopwords"". You should not simply translate these individual words into
your language. Instead, look for and provide commonly accepted stopwords in
your language.",dev
This content is password protected. To view it please enter your password below:,"Este conteúdo está protegido com uma senha. Para o visualizar, por favor insira a sua senha abaixo:",,dev
ERROR: This is not a valid feed template.,ERRO: o template do feed não é válido.,,dev
The SSL certificate for the host could not be verified.,Não foi possível verificar o certificado SSL do servidor.,,dev
Failed to write request to temporary file.,Erro ao escrever o pedido num ficheiro temporário.,,dev
Embed Media Player,Incorporar reprodutor de media,,dev
Link to Attachment Page,Ligar à página do anexo,,dev
Link to Media File,Ligação a ficheiro media,,dev
Embed or Link,Incorporar ou ligar,,dev
Length:,Duração:,,dev
Captions/Subtitles,Legendas,,dev
Unmute,Ligar som,,dev
Go Fullscreen,Ecrã inteiro,,dev
Turn off Fullscreen,Desligar ecrã inteiro,,dev
Mute Toggle,Ligar/desligar som,,dev
Download Video,Descarregar vídeo,,dev
Download File,Descarregar ficheiro,,dev
"%s year
%s years","%s ano
%s anos","translators: Time difference between two dates, in years. 1: Number of years",dev
"%s month
%s months","%s mês
%s meses","translators: Time difference between two dates, in months. 1: Number of
months",dev
"%s week
%s weeks","%s semana
%s semanas","translators: Time difference between two dates, in weeks. 1: Number of weeks",dev
#%d (no title),#%d (sem título),translators: %d: ID of a post,dev
JavaScript must be enabled to use this feature.,O JavaScript deve estar activado para usar esta funcionalidade.,,dev
"F j, Y g:i a","j F, Y G:i","translators: localized date and time format, see https://secure.php.net/date",dev
g:i a,G:i,"translators: localized time format, see https://secure.php.net/date",dev
"F j, Y","j F, Y","translators: localized date format, see https://secure.php.net/date",dev
The URL to the admin area,O URL da área de administração,,dev
Login Address (URL),URL do início de sessão,,dev
"The web browser on your device cannot be used to upload files. You may be able to use the <a href=""%s"">native app for your device</a> instead.","O navegador no seu dispositivo não pode ser usado para carregar ficheiros. Pode ser que uma <a href=""%s"">app nativa para o seu dispositivo</a> ajude.",,dev
"<strong>ERROR</strong>: Couldn&#8217;t register you&hellip; please contact the <a href=""mailto:%s"">webmaster</a> !","<strong>ERRO</strong>: Não foi possível criar o seu registo&hellip; por favor contacte o <a href=""mailto:%s"">administrador</a>!",,dev
Possible reason: your host may have disabled the mail() function.,É possível que o seu serviço de alojamento tenha desactivado a função mail().,,dev
(more&hellip;),(mais&hellip;),,dev
"The site you were looking for, %s, does not exist, but you can create it now!","O site %s não existe, mas pode criá-lo agora!",translators: %s: site address,dev
"Have you entered your email correctly? You have entered %s, if it&#8217;s incorrect, you will not receive your email.","Indicou um endereço de email válido? Indicou %s, se não estiver correcto não receberá mensagem alguma.",translators: %s: email address,dev
"%1$s %2$s, %3$s @ %4$s:%5$s","%2$s de %1$s, %3$s @ %4$s:%5$s","translators: 1: month, 2: day, 3: year, 4: hour, 5: minute",dev
Your session has expired. You can log in again from this page or go to the login page.,A sua sessão expirou. Pode reiniciá-la nesta página ou na página de início de sessão.,,dev
The login page will open in a new window. After logging in you can close it and return to this page.,A página de início de sessão vai abrir numa nova janela. Depois de iniciar a sessão pode fechá-la e voltará a esta página.,,dev
"%s <span class=""says"">says:</span>","%s <span class=""says"">diz:</span>",translators: %s: comment author link,dev
Search [submit button],Procurar,,dev
Search for: [label],Procurar por:,,dev
Search &hellip; [placeholder],Pesquisar &hellip;,,dev
Session expired,A sessão expirou,,dev
No tags found.,Não foram encontradas etiquetas.,,dev
WordPress.org [meta widget link text],WordPress.org,,dev
"Do not deregister the %1$s script in the administration area. To target the front-end theme, use the %2$s hook.","Não desinscreva o <em>script</em> %1$s na zona de administração. Para o fazer no tema, use o <em>hook</em> %2$s.","translators: 1: script name, 2: wp_enqueue_scripts",dev
Site Address (URL),Endereço do site (URL),,dev
WordPress Address (URL),Endereço do WordPress (URL),,dev
Invalid user ID.,ID de utilizador inválida.,,dev
Caption this image&hellip;,Legenda desta imagem&hellip;,,dev
Random Order,Ordem aleatória,,dev
Insert from URL,Inserir de um URL,,dev
%d selected,%d seleccionado(s),"translators: This is a would-be plural string used in the media manager.
If there is not a word you can use in your language to avoid issues with
the lack of plural support here, turn it into ""selected: %d"" then
translate it.",dev
Random [Links widget],Aleatório,,dev
Add to Gallery,Adicionar à galeria,,dev
No items found.,Nenhum item encontrado.,,dev
Reverse order,Inverter ordem,,dev
Deselect,Desmarcar,,dev
"Sorry, that file cannot be edited.",Esse ficheiro não pode ser editado.,,dev
Delete Permanently,Eliminar permanentemente,,dev
Upload Limit Exceeded,Limite de carregamento excedido,,dev
Dismiss Errors,Descartar erros,,dev
Uploading,A carregar,,dev
No editor could be selected.,Nenhum editor pôde ser escolhido.,,dev
"Video <span class=""count"">(%s)</span>
Video <span class=""count"">(%s)</span>","Vídeo <span class=""count"">(%s)</span>
Vídeos <span class=""count"">(%s)</span>",,dev
Manage Video,Gerir vídeo,,dev
Video,Vídeo,,dev
"Audio <span class=""count"">(%s)</span>
Audio <span class=""count"">(%s)</span>","Áudio <span class=""count"">(%s)</span>
Áudio <span class=""count"">(%s)</span>",,dev
Manage Audio,Gerir áudio,,dev
"Image <span class=""count"">(%s)</span>
Images <span class=""count"">(%s)</span>","Imagem <span class=""count"">(%s)</span>
Imagens <span class=""count"">(%s)</span>",,dev
Manage Images,Gerir imagens,,dev
Uploaded to this page,Carregado nesta página,,dev
Insert into page,Inserir na página,,dev
Audio,Áudio,,dev
Uploaded to this post,Carregado neste artigo,,dev
All media items,Todos os ficheiros multimédia,,dev
&#8592; Return to library,&#8592; Voltar à biblioteca,,dev
Custom URL,URL personalizado,,dev
Columns,Colunas,,dev
Alt Text,Texto alternativo,,dev
Attachment Details,Detalhes do anexo,,dev
Large,Grande,,dev
&#8592; Cancel Gallery,&#8592; Cancelar galeria,,dev
Upload Images,Carregar imagens,,dev
Gallery Settings,Opções de galerias,,dev
Attachment Display Settings,Opções de visualização de anexos,,dev
WordPress &rsaquo; Success,WordPress &rsaquo; Sucesso,,dev
Upload Files,Carregar ficheiros,,dev
Drop files anywhere to upload,"Para carregar, largue os ficheiros em qualquer lugar",,dev
Insert gallery,Inserir galeria,,dev
Drop files to upload,Largue os ficheiros a carregar,,dev
Create Gallery,Criar galeria,,dev
Media Library,Biblioteca multimédia,,dev
You appear to have already installed WordPress. To reinstall please clear your old database tables first.,Pelos vistos já instalou o WordPress. Para reinstalar comece por esvaziar as tabelas da base de dados.,,dev
Already Installed,Já instalado,,dev
"To activate your user, please click the following link: 

%s 

After you activate, you will receive *another email* with your login.","Para activar o seu utilizador, por favor clique na ligação abaixo: 

%s 

Depois de o activar, receberá uma *segunda* mensagem com os dados de acesso.",,dev
